Date,Sunrise Time,Location
4-Jan,3:44,Downtown
11-Jan,4:10,Art District
18-Jan,8:00,River Walk
25-Jan,4:56,Residential
1-Feb,3:38,Beach
8-Feb,7:55,Beach
15-Feb,6:22,Residential
22-Feb,5:43,Art District
1-Mar,7:00,Downtown
8-Mar,6:48,River Walk
15-Mar,7:28,Beach
22-Mar,6:55,Residential
29-Mar,8:05,Downtown
5-Apr,5:57,Art District
12-Apr,5:35,River Walk
19-Apr,4:47,Art District
26-Apr,4:31,Beach
3-May,5:03,River Walk
10-May,5:33,Residential
17-May,7:03,Beach
24-May,4:46,River Walk
31-May,6:49,Downtown
7-Jun,6:50,Art District
14-Jun,7:56,Residential
21-Jun,6:47,River Walk
28-Jun,6:46,Downtown
5-Jul,6:45,Beach
12-Jul,6:44,Residential
19-Jul,6:43,Art District
26-Jul,6:42,Beach
2-Aug,6:41,Residential
9-Aug,6:40,River Walk
16-Aug,6:39,Downtown
23-Aug,6:38,Art District
30-Aug,6:37,Beach
6-Sep,6:36,Downtown
13-Sep,6:35,Residential
20-Sep,6:34,River Walk
27-Sep,7:27,Beach
4-Oct,3:15,Art District
11-Oct,6:20,Residential
18-Oct,6:18,River Walk
25-Oct,5:00,Art District
1-Nov,6:16,Beach
8-Nov,6:14,Downtown
15-Nov,6:13,River Walk
22-Nov,6:12,Residential
29-Nov,6:10,Art District
6-Dec,6:09,Downtown
13-Dec,6:08,Beach
20-Dec,6:06,Residential
27-Dec,5:43,River Walk
